,,,,,,,
,,,,,,,
,,,,,,,
Faculty,Area of Study,Area of Study Code,Level,Offered,Unit Code,Unit Name,More Info
Agriculture and Environment,Agricultural Chemistry,AGCH,UG,Semester 1,AGCH3025,Chemistry and Biochemistry of Foods,http://sydney.edu.au/courses/uos/AGCH3025
Agriculture and Environment,Agricultural Chemistry,AGCH,UG,Semester 2,AGCH3033,Environmental Chemistry,http://sydney.edu.au/courses/uos/AGCH3033
Agriculture and Environment,Agricultural Genomics,AGEN,UG,Semester 1,AGEN1001,Shaping our Landscapes,http://sydney.edu.au/courses/uos/AGEN1001
Agriculture and Environment,Agricultural Genomics,AGEN,UG,Semester 2,AGEN1006,Biological Chemistry,http://sydney.edu.au/courses/uos/AGEN1006
Agriculture and Environment,Agricultural Genomics,AGEN,UG,Semester 1,AGEN2001,Plant Function,http://sydney.edu.au/courses/uos/AGEN2001
Agriculture and Environment,Agricultural Genomics,AGEN,UG,Semester 1,AGEN2002,Fresh Produce Management,http://sydney.edu.au/courses/uos/AGEN2002
Agriculture and Environment,Agricultural Genomics,AGEN,UG,Semester 2,AGEN2005,Plant Systems Biology,http://sydney.edu.au/courses/uos/AGEN2005
Agriculture and Environment,Agricultural Genomics,AGEN,UG,Semester 2,AGEN2006,Animal Production and Management,http://sydney.edu.au/courses/uos/AGEN2006
Agriculture and Environment,Agricultural Genomics,AGEN,UG,Semester 2 - Intensive August,AGEN3001,Food Product Development,http://sydney.edu.au/courses/uos/AGEN3001
Agriculture and Environment,Agricultural Genomics,AGEN,UG,Semester 2 - Intensive August,AGEN3003,Global Food Security,http://sydney.edu.au/courses/uos/AGEN3003
Agriculture and Environment,Agricultural Genomics,AGEN,UG,Semester 1,AGEN3004,Food Processing and Value Adding,http://sydney.edu.au/courses/uos/AGEN3004
Agriculture and Environment,Agricultural Genomics,AGEN,UG,Semester 1,AGEN3005,Flavour and Sensory Analysis,http://sydney.edu.au/courses/uos/AGEN3005
Agriculture and Environment,Agricultural Genomics,AGEN,UG,Semester 2,AGEN3006,Plants and Food,http://sydney.edu.au/courses/uos/AGEN3006
Agriculture and Environment,Agronomy,AGRO,UG,Semester 2,AGRO3004,Managing Agro-Ecosystems,http://sydney.edu.au/courses/uos/AGRO3004
Agriculture and Environment,Agronomy,AGRO,UG,Semester 1,AGRO4003,Crop and Pasture Agronomy,http://sydney.edu.au/courses/uos/AGRO4003
Agriculture and Environment,Agronomy,AGRO,UG,Semester 1,AGRO4004,Sustainable Farming Systems,http://sydney.edu.au/courses/uos/AGRO4004
Agriculture and Environment,Agronomy,AGRO,UG,Semester 2,AGRO4005,Livestock Production Systems,http://sydney.edu.au/courses/uos/AGRO4005
Agriculture and Environment,Agronomy,AGRO,UG,Semester 1,AGRO4006,New and Emerging Tech in Animal Science,http://sydney.edu.au/courses/uos/AGRO4006
Agriculture and Environment,Environmental Science,ENSY,UG,Semester 2,ENSY3001,Biosphere-Atmosphere Interactions,http://sydney.edu.au/courses/uos/ENSY3001
Agriculture and Environment,Environmental Science,ENSY,UG,Semester 1,ENSY3002,Fire in Australian Ecosystems,http://sydney.edu.au/courses/uos/ENSY3002
Agriculture and Environment,Environmental Science,ENSY,UG,Semester 2,ENSY3003,Forest Ecosystem Science,http://sydney.edu.au/courses/uos/ENSY3003
Agriculture and Environment,Entomology,ENTO,UG,Semester 2,ENTO2001,Introductory Entomology,http://sydney.edu.au/courses/uos/ENTO2001
Agriculture and Environment,Entomology,ENTO,UG,Semester 2,ENTO4003,Integrated Pest Management,http://sydney.edu.au/courses/uos/ENTO4003
Agriculture and Environment,Entomology,ENTO,UG,Semester 1,ENTO4004,Insect Taxonomy and Systematics,http://sydney.edu.au/courses/uos/ENTO4004
Agriculture and Environment,Environmental Statistics,ENVX,UG,Semester 1,ENVX1002,Introduction to Statistical Methods,http://sydney.edu.au/courses/uos/ENVX1002
Agriculture and Environment,Environmental Statistics,ENVX,UG,Semester 1,ENVX2001,Applied Statistical Methods,http://sydney.edu.au/courses/uos/ENVX2001
Agriculture and Environment,Environmental Statistics,ENVX,UG,Semester 2,ENVX3001,Environmental GIS,http://sydney.edu.au/courses/uos/ENVX3001
Agriculture and Environment,Environmental Statistics,ENVX,UG,Semester 1,ENVX3002,Statistics in the Natural Sciences,http://sydney.edu.au/courses/uos/ENVX3002
Agriculture and Environment,Environmental Statistics,ENVX,UG,Semester 2,ENVX4001,GIS~ Remote Sensing and Land Management,http://sydney.edu.au/courses/uos/ENVX4001
Agriculture and Environment,Agricultural Genetics,GENE,UG,Semester 1,GENE2002,Veterinary and Agricultural Genetics 2,http://sydney.edu.au/courses/uos/GENE2002
Agriculture and Environment,Agricultural Genetics,GENE,UG,Semester 2,GENE4012,Plant Breeding,http://sydney.edu.au/courses/uos/GENE4012
